"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"269","HOG",208,"HOG-09","09","Höganäs",1.62055665111083e-05
"270","HOG",216,"HOG-11","11","Höganäs",1.62055665111083e-05
"271","HOG",210,"HOG-15","15","Höganäs",1.62055665111083e-05
"272","HOG",210,"HOG-16","16","Höganäs",1.62055665111083e-05
"273","HOG",212,"HOG-17","17","Höganäs",1.62055665111083e-05
"274","HOG",213,"HOG-18","18","Höganäs",1.62055665111083e-05
"275","HOG",214,"HOG-10","10","Höganäs",1.62055665111083e-05
"276","HOG",216,"HOG-12","12","Höganäs",1.62055665111083e-05
"277","HOG",217,"HOG-13","13","Höganäs",1.62055665111083e-05
"278","HOG",218,"HOG-19","19","Höganäs",1.62055665111083e-05
"279","HOR",587,"HOR-10","10","Hornsudde",4.80724704319179e-05
"280","HOR",587,"HOR-11","11","Hornsudde",4.80724704319179e-05
"281","HOR",587,"HOR-12","12","Hornsudde",4.80724704319179e-05
"282","HOR",587,"HOR-13","13","Hornsudde",4.80724704319179e-05
"283","HOR",587,"HOR-14","14","Hornsudde",4.80724704319179e-05
"284","HOR",587,"HOR-15","15","Hornsudde",4.80724704319179e-05
"285","HOR",587,"HOR-16","16","Hornsudde",4.80724704319179e-05
"286","HOR",587,"HOR-17","17","Hornsudde",4.80724704319179e-05
"287","HOR",587,"HOR-18","18","Hornsudde",4.80724704319179e-05
"288","HOR",587,"HOR-19","19","Hornsudde",4.80724704319179e-05
"289","HOR",587,"HOR-02","02","Hornsudde",4.80724704319179e-05
"290","HOR",587,"HOR-03","03","Hornsudde",4.80724704319179e-05
"291","HOR",587,"HOR-05","05","Hornsudde",4.80724704319179e-05
"292","HOR",587,"HOR-08","08","Hornsudde",4.80724704319179e-05
"293","HOR",587,"HOR-09","09","Hornsudde",4.80724704319179e-05
"294","HOR",587,"HOR-20","20","Hornsudde",4.80724704319179e-05
"295","ING",771,"ING-01","01","Ingå",0.000819672363726527
"296","ING",771,"ING-02","02","Ingå",0.000819672363726527
"297","ING",771,"ING-03","03","Ingå",0.000819672363726527
"298","ING",771,"ING-04","04","Ingå",0.000819672363726527
"299","ING",771,"ING-05","05","Ingå",0.000819672363726527
"300","ING",771,"ING-06","06","Ingå",0.000819672363726527
"301","ING",771,"ING-07","07","Ingå",0.000819672363726527
"302","ING",771,"ING-08","08","Ingå",0.000819672363726527
"303","ING",771,"ING-09","09","Ingå",0.000819672363726527
"304","ING",771,"ING-10","10","Ingå",0.000819672363726527
"305","ING",771,"ING-11","11","Ingå",0.000819672363726527
"306","ING",771,"ING-12","12","Ingå",0.000819672363726527
