"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"214","KAL","TempWarm-16psu",214,"B3",0.00178793309128233,0.00196603966382032,"lea_offset"
"215","HOR","TempWarm-16psu",215,"B3",0.00300998473638875,0.00247465262323897,"lea_offset"
"216","VAT","TempWarm-16psu",216,"B3",0.00476193940220727,0.00388673467107388,"lea_offset"
"217","KUR","TempWarm-5psu",217,"B3",0.0020852804853542,0.0014652228914441,"lea_offset"
"218","VAT","TempWarm-5psu",218,"B3",0.00531852132155367,0.00372538721306349,"lea_offset"
"219","BAR","TempWarm-5psu",219,"B3",0.00298982866881664,0.00211109144794893,"lea_offset"
"220","HOG","TempWarm-5psu",220,"B3",0.00274679911443509,0.00203846944352572,"lea_offset"
"221","KAL","TempWarm-5psu",221,"B3",0.00151107735888893,0.00108485692999572,"lea_offset"
"222","VIK","TempWarm-5psu",222,"B3",0.0024824961295869,0.00200688858218806,"lea_offset"
"223","HOR","TempWarm-5psu",223,"B3",0.00280604238508143,0.00168347147693058,"lea_offset"
"224","BJO","TempWarm-5psu",224,"B3",0.00279058902598171,0.00200242742701099,"lea_offset"
"225","BJO","TempWarm-16psu",225,"B4",0.00292958438947216,0.00299441300589272,"lea_offset"
"226","HOG","TempWarm-16psu",226,"B4",0.00241601639893367,0.00252748145269471,"lea_offset"
"227","HOR","TempWarm-16psu",227,"B4",0.00277540082847826,0.00228947988811193,"lea_offset"
"228","VAT","TempWarm-16psu",228,"B4",0.00450233944337279,0.00373902197358363,"lea_offset"
"229","KUR","TempWarm-16psu",229,"B4",0.00203315521036688,0.00189888564986843,"lea_offset"
"230","BAR","TempWarm-16psu",230,"B4",0.00266052632897853,0.00268806399774881,"lea_offset"
"231","VIK","TempWarm-16psu",231,"B4",0.00192086133205999,0.00165412772350289,"lea_offset"
"232","KAL","TempWarm-16psu",232,"B4",0.00159489283934374,0.00177283891988582,"lea_offset"
"233","BJO","TempWarm-5psu",233,"B4",0.0025502330109411,0.00180790396317285,"lea_offset"
"234","HOR","TempWarm-5psu",234,"B4",0.00257677329880656,0.00151488993508771,"lea_offset"
"235","BAR","TempWarm-5psu",235,"B4",0.00277692633023889,0.00195804796099454,"lea_offset"
"236","VAT","TempWarm-5psu",236,"B4",0.00506948215547134,0.00356603080714292,"lea_offset"
"237","VIK","TempWarm-5psu",237,"B4",0.00228713036587509,0.00185492766937407,"lea_offset"
"238","KAL","TempWarm-5psu",238,"B4",0.00133793758242087,0.000944038685352634,"lea_offset"
"239","KUR","TempWarm-5psu",239,"B4",0.00188345983351268,0.00130046497918336,"lea_offset"
"240","HOG","TempWarm-5psu",240,"B4",0.00254317399574621,0.00188677252401435,"lea_offset"
"241","KAL","TempWarm-16psu",241,"B4",0.00159449193860393,0.00177316253382062,"lea_offset"
"242","HOR","TempWarm-16psu",242,"B4",0.00277540082847826,0.00228947988811193,"lea_offset"
"243","KUR","TempWarm-16psu",243,"B4",0.00202801333040194,0.00188361560381439,"lea_offset"
"244","BAR","TempWarm-16psu",244,"B4",0.0026578792104342,0.00267195768112963,"lea_offset"
"245","VIK","TempWarm-16psu",245,"B4",0.00191749852693219,0.00164257744211794,"lea_offset"
"246","HOG","TempWarm-16psu",246,"B4",0.00241347085586179,0.00251219162087689,"lea_offset"
"247","VAT","TempWarm-16psu",247,"B4",0.00451270765108265,0.00372696504578411,"lea_offset"
"248","BJO","TempWarm-16psu",248,"B4",0.00291505824473943,0.00295443142869073,"lea_offset"
"249","BAR","TempWarm-5psu",249,"B4",0.00277130916217234,0.00195220572209285,"lea_offset"
"250","HOG","TempWarm-5psu",250,"B4",0.00254317399574621,0.00188677252401435,"lea_offset"
"251","VIK","TempWarm-5psu",251,"B4",0.00229420711811207,0.00186631057111338,"lea_offset"
"252","VAT","TempWarm-5psu",252,"B4",0.0050689588223957,0.00356424885770134,"lea_offset"
"253","BJO","TempWarm-5psu",253,"B4",0.00255124254110719,0.0018088946411156,"lea_offset"
"254","KUR","TempWarm-5psu",254,"B4",0.00188345983351268,0.00130046497918336,"lea_offset"
"255","KAL","TempWarm-5psu",255,"B4",0.00133925179542058,0.000944132955750086,"lea_offset"
"256","HOR","TempWarm-5psu",256,"B4",0.00257677329880656,0.00151488993508771,"lea_offset"
"257","KUR","TempControl-21psu",257,"C1",0.000790683087777645,0.00182053683210293,"lea_offset"
"258","BJO","TempControl-21psu",258,"C1",0.00132761600130397,0.00275371231728617,"lea_offset"
"259","KAL","TempControl-21psu",259,"C1",0.000772906727645659,0.00201901285948462,"lea_offset"
"260","HOR","TempControl-21psu",260,"C1",0.0011642510211047,0.0022000225070979,"lea_offset"
"261","VIK","TempControl-21psu",261,"C1",0.000458650952194639,0.00122740401963739,"lea_offset"
"262","BAR","TempControl-21psu",262,"C1",0.00101992295497468,0.0026331259623025,"lea_offset"
"263","VAT","TempControl-21psu",263,"C1",0.00201348404418787,0.0032007085113929,"lea_offset"
"264","HOG","TempControl-21psu",264,"C1",0.000864704993293892,0.00239568932937341,"lea_offset"
"265","VIK","TempControl-7psu",265,"C1",0.000556584288205913,0.000598681872405395,"lea_offset"
"266","VAT","TempControl-7psu",266,"C1",0.00234053922016292,0.00207825115619825,"lea_offset"
"267","BJO","TempControl-7psu",267,"C1",0.00049277350291902,0.000419393085001464,"lea_offset"
"268","BAR","TempControl-7psu",268,"C1",0.000779700240326837,0.000792588105671304,"lea_offset"
"269","HOG","TempControl-7psu",269,"C1",0.000641719424795622,0.00068828028661079,"lea_offset"
"270","HOR","TempControl-7psu",270,"C1",0.00051217383168239,0.000265747757687271,"lea_offset"
"271","KUR","TempControl-7psu",271,"C1",0.000209624618031073,0.000143186523178501,"lea_offset"
"272","KAL","TempControl-7psu",272,"C1",6.30084740369748e-05,6.01063353822247e-05,"lea_offset"
"273","VAT","TempControl-21psu",273,"C1",0.00201587497399513,0.00322090729444674,"lea_offset"
"274","HOG","TempControl-21psu",274,"C1",0.000870994678658338,0.00242002561229135,"lea_offset"
"275","HOR","TempControl-21psu",275,"C1",0.00116578116052112,0.00219727295399109,"lea_offset"
"276","BAR","TempControl-21psu",276,"C1",0.00102636586971496,0.00265845389179517,"lea_offset"
"277","BJO","TempControl-21psu",277,"C1",0.00132761600130397,0.00275371231728617,"lea_offset"
"278","KUR","TempControl-21psu",278,"C1",0.000807157976607603,0.00186998795905544,"lea_offset"
"279","KAL","TempControl-21psu",279,"C1",0.000774749885864562,0.00201821755230369,"lea_offset"
"280","VIK","TempControl-21psu",280,"C1",0.000444047720888971,0.00117650491031179,"lea_offset"
"281","KUR","TempControl-7psu",281,"C1",0.000209624618031073,0.000143186523178501,"lea_offset"
"282","KAL","TempControl-7psu",282,"C1",6.37376355840784e-05,6.25870688860813e-05,"lea_offset"
