"pop","site","site_abbrev","lat","long","pop_order","trt","tank_ID","surv_mean","surv_sd","len_mean","len_sd","weigh_mean","weigh_sd"
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","A4",0.5,0.707106781186548,2.52666666666667,NA,-0.473684210526316,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","B1",0.5,0.707106781186548,1.74008810572687,NA,-0.296551724137931,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","A3",1,0,3.0845027981059,1.0856509021868,0.20101902714752,0.39169245947743
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","B3",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","B3",0.5,0.707106781186548,0.677777777777778,NA,-1,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","B4",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","C3",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","C4",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","A3",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","A1",1,0,2.64131289308176,1.06705303969149,0.231340786880459,0.225458138576701
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","A2",1,0,1.97076543348386,0.129481876185861,0.0386125078202839,0.0579815436027285
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","C1",0.5,0.707106781186548,3.93064876957494,NA,0.531954887218045,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","C2",1,0,3.0091074714095,0.688890216647953,0.130389799505609,0.0330130182116658
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","C3",1,0,2.38188053823433,0.496348580813066,-0.221908471944542,0.0490963382640535
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-21psu","C4",1,0,2.38116094986807,1.27443403718445,-0.165325701953977,0.217915809885503
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","A1",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","A2",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","C1",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl-7psu","C2",0.5,0.707106781186548,0.538461538461539,NA,-0.109442060085837,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","B1",0.5,0.707106781186548,1.44901960784314,NA,-0.28921568627451,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","B2",0.5,0.707106781186548,1.632,NA,-0.412621359223301,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm-16psu","A4",0,NA,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","C1",1,0,3.00745614035088,2.31546457383279,0.0237399053188528,0.336815970264436
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","A1",1,0,2.53225293132328,0.993135619693649,-0.128447256968384,0.201570353732805
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","A2",1,0,2.37739730439123,1.50959173587447,-0.322160890029953,0.205511796284778
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","A1",0.5,0.707106781186548,0.944,NA,-0.0941704035874439,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","A2",1,0,1.13289442615665,0.297193649717418,-0.434925284586006,0.330336250367804
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","C1",1,0,2.46324110671937,2.07492519507072,0.0458381281166091,0.364809597505142
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","C2",0.5,0.707106781186548,0.501392757660167,NA,-1,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","C3",1,0,1.96817015396763,0.225350157565275,-0.360064935064935,0.36778735826651
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-7psu","C4",0.5,0.707106781186548,3.5875,NA,0.625,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","A3",1,0,1.51026653732446,0.54886681437861,-0.148078650563929,0.130481985932497
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","A4",1,0,1.55897153167602,0.321132516323554,-0.301111848655825,0.0671591073845173
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","B1",1,0,1.66319444444444,NA,-0.216494845360825,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","B2",1,0,1.66233766233766,0.174480894059018,-0.27151268115942,0.251394394579456
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","C2",1,0,2.17832332509125,0.938729419272145,0.0737175272836561,0.165297516611878
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","C3",1,0,4.02420872540633,0.127388099330955,0.154851549053356,0.155858626791226
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl-21psu","C4",1,0,1.60153974198918,0.0126531800212324,-0.193067528735632,0.0520678484709922
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","B3",1,0,2.22740740740741,1.11356223466859,-0.404627766599598,0.0742675532755288
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm-16psu","B4",1,0,1.00682425777403,0.686013965988638,-0.625,0.530330085889911
