bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
53,A2,VAT_gen-07,053_A2_VAT_gen-07_TempControl-21psu,absolutely yes,21psu,TempControl,5,35.3,4,2,0.40,32.0,14.7,NA,NA,NA,NA,NA,3.0,23.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,1.33,0.00,0.00,4.18,N,Y,TRUE,
54,A2,KUR_gen-07,054_A2_KUR_gen-07_TempControl-21psu,,21psu,TempControl,4,24.5,4,2,0.25,3.1,14.8,NA,NA,NA,NA,NA,32.0,17.5,NA,NA,NA,NA,1,2,7.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.34,0.04,0.00,1.65,N,Y,TRUE,
55,A2,VIK_gen-07,055_A2_VIK_gen-07_TempControl-21psu,absolutely yes,21psu,TempControl,5,28.1,3,2,0.40,13.1,NA,NA,NA,NA,NA,NA,15.4,21.7,NA,NA,NA,NA,1,4,14.5,17.3,11.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.39,0.15,0.00,1.31,N,Y,TRUE,"new shoot 1 has a hole on leaf3, growth to hole is 10.5"
56,A2,BAR_gen-07,056_A2_BAR_gen-07_TempControl-21psu,yes,21psu,TempControl,4,36.0,5,2,0.30,0.0,25.8,8.0,NA,NA,NA,NA,25.6,5.3,NA,NA,NA,NA,1,1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90,0.55,0.20,0.00,1.65,N,Y,TRUE,
57,A2,KUR_gen-08,057_A2_KUR_gen-08_TempControl-7psu,,7psu,TempControl,5,17.7,4,3,0.20,12.3,NA,NA,NA,NA,NA,NA,21.0,3.9,21.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.35,0.00,0.00,1.03,N,Y,TRUE,
58,A2,BJO_gen-08,058_A2_BJO_gen-08_TempControl-7psu,yes,7psu,TempControl,6,34.5,4,2,0.40,8.2,18.0,NA,NA,NA,NA,NA,18.5,10.0,NA,NA,NA,NA,2,4,14.5,7.4,13.8,13.8,NA,NA,3,9,1.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2.04,0.64,0.20,0.09,2.97,N,Y,TRUE,
61,A2,VIK_gen-08,061_A2_VIK_gen-08_TempControl-7psu,,7psu,TempControl,4,30.9,4,3,0.35,12.1,NA,NA,NA,NA,NA,NA,11.3,6.5,1.5,NA,NA,NA,1,2,4.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.29,0.03,0.00,0.60,N,Y,TRUE,
65,A3,VIK_gen-09,065_A3_VIK_gen-09_TempWarm-16psu,,16psu,TempWarm,4,35.2,4,3,0.40,8.9,NA,NA,NA,NA,NA,NA,13.8,5.8,11.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,0.84,0.00,0.00,2.03,N,Y,TRUE,
67,A3,HOG_gen-09,067_A3_HOG_gen-09_TempWarm-16psu,,16psu,TempWarm,5,37.5,3,2,0.30,18.4,NA,NA,NA,NA,NA,NA,15.5,2.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90,0.34,0.00,0.00,2.24,N,Y,TRUE,
68,A3,KUR_gen-09,068_A3_KUR_gen-09_TempWarm-16psu,yes,16psu,TempWarm,6,30.3,4,2,0.25,14.8,6.5,NA,NA,NA,NA,NA,2.0,12.3,NA,NA,NA,NA,1,4,8.0,10.5,5.7,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.32,0.08,0.00,1.46,N,Y,TRUE,
