"tank_ID","pop","trt","cc","method","offset","isAlive","surv","tank_num"
"A2","HOG","TempControl-7psu","full","gf",0.0510938890253881,1,1,2
"A2","KAL","TempControl-21psu","full","gf",0.0775834372250432,1,1,2
"A2","BAR","TempControl-21psu","mll","gf",0.0490786082468778,1,1,2
"A2","VAT","TempControl-21psu","full","lea",0.00865817083691104,1,1,2
"A2","KUR","TempControl-21psu","mll","gf",0.0535413706865548,1,1,2
"A2","KAL","TempControl-7psu","full","lea",0.00207720689029909,0,0,2
"A2","HOG","TempControl-21psu","full","gf",0.0749036582149313,1,1,2
"A2","VIK","TempControl-7psu","mll","lea",0.00937079354091767,1,1,2
"A2","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,2
"A2","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,2
"A2","VAT","TempControl-7psu","mll","gf",0.048850145099321,0,0,2
"A2","VIK","TempControl-7psu","mll","gf",0.0417944880358398,1,1,2
"A2","VAT","TempControl-21psu","mll","rda",0.814563568338807,1,1,2
"A2","BJO","TempControl-7psu","mll","gf",0.0376171887951399,1,1,2
"A2","BAR","TempControl-21psu","mll","gf",0.0490786082468778,1,1,2
"A2","KUR","TempControl-21psu","full","gf",0.0819319947767753,1,1,2
"A2","VIK","TempControl-21psu","full","gf",0.0534623957198638,1,1,2
"A2","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,2
"A2","BJO","TempControl-21psu","mll","gf",0.0599209950928221,1,1,2
"A2","HOR","TempControl-7psu","full","gf",0.042634624078671,0,0,2
"A2","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,2
"A2","KUR","TempControl-7psu","full","gf",0.0446089042446935,0,0,2
"A2","KUR","TempControl-21psu","mll","lea",0.0101466007458098,1,1,2
"A2","BJO","TempControl-7psu","mll","lea",0.0106037999923931,1,1,2
"A2","VIK","TempControl-21psu","mll","lea",0.00624979451824577,1,1,2
"A2","BAR","TempControl-7psu","full","gf",0.0510150602602953,0,0,2
"A2","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,2
