"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"gf","weigh","cg","abs","mll",-0.188480035759231,0.0078318613228678,-0.0550576779594964,0.441056983958806,-0.0370132648694908,0.456711874234453,0.0355247238798009,FALSE,1,FALSE
"env","weigh","cg","abs","mll",-0.155853640297826,0.0283372488713898,-0.0561408103038581,0.432108128918277,-0.027599486521181,0.578910074521216,0.0242903571940842,FALSE,1,FALSE
"lea","weigh","cg","abs","full",-0.254951912264209,0.000289113157043482,-0.119078702193614,0.0947360311572254,-0.0769148480958494,0.121954121189528,0.065000477567177,FALSE,1,FALSE
"rda","weigh","cg","abs","full",0.345764819054996,6.0603022780989e-07,0.39504811726341,8.43023573115316e-09,0.260911424903723,1.55038548699728e-07,0.119553310096134,TRUE,6.20154194798911e-06,TRUE
"gf","weigh","cg","abs","full",-0.169848043452549,0.0167454529885146,-0.0564863589630751,0.429275313160377,-0.0404364569961489,0.416156989640978,0.028848357864659,FALSE,1,FALSE
"env","weigh","cg","abs","full",-0.155853640297826,0.0283372488713898,-0.0561408103038581,0.432108128918277,-0.027599486521181,0.578910074521216,0.0242903571940842,FALSE,1,FALSE
"lea","weigh","cf","rel","mll",-0.205211133789591,0.00372896195523791,-0.0581773034590434,0.415568253575993,-0.0207159650356581,0.68730765299975,0.0421116094312095,FALSE,1,FALSE
"rda","weigh","cf","rel","mll",-0.0173640654173915,0.808156187953212,-0.10180159221476,0.153546492173982,-0.0728727816376965,0.15679919957251,0.000301510767819453,FALSE,1,FALSE
"gf","weigh","cf","rel","mll",-0.191098439518392,0.00699951289108407,-0.0686592023470778,0.33648261960213,-0.0219577940023733,0.669641400536622,0.0365186135863646,FALSE,1,FALSE
"env","weigh","cf","rel","mll",-0.183039215056043,0.00984786102939243,-0.119280375831522,0.0941743139916373,-0.0803237554379877,0.118596536504144,0.0335033542483322,FALSE,1,FALSE
