"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"169","FUR",383,"FUR-14","14","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"170","FUR",383,"FUR-17","17","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"171","FUR",379,"FUR-18","18","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"172","FUR",379,"FUR-19","19","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"173","FUR",383,"FUR-20","20","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"174","FUR",383,"FUR-03","03","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"175","FUR",383,"FUR-04","04","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"176","FUR",383,"FUR-06","06","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"177","FUR",383,"FUR-10","10","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"178","FUR",383,"FUR-12","12","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"179","FUR",383,"FUR-15","15","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"180","GAL",669,"GAL-01","01","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"181","GAL",669,"GAL-02","02","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"182","GAL",669,"GAL-03","03","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"183","GAL",669,"GAL-04","04","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"184","GAL",669,"GAL-05","05","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"185","GAL",669,"GAL-06","06","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"186","GAL",669,"GAL-07","07","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"187","GAL",669,"GAL-08","08","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"188","GAL",669,"GAL-09","09","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"189","GAL",669,"GAL-10","10","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"190","GAL",669,"GAL-11","11","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"191","GAL",669,"GAL-12","12","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"192","GAL",669,"GAL-13","13","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"193","GAL",669,"GAL-14","14","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"194","GAL",669,"GAL-15","15","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"195","GAL",687,"GAL-16","16","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"196","GAL",687,"GAL-17","17","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"197","GAL",687,"GAL-18","18","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"198","GAL",687,"GAL-19","19","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"199","GAL",687,"GAL-20","20","Haninge","Gålö",1832692339,5909087305,0.949213930814155,-0.6868723956935
"200","GAS",44,"GAS-01","01","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"201","GAS",46,"GAS-02","02","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"202","GAS",46,"GAS-03","03","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"203","GAS",47,"GAS-04","04","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"204","GAS",48,"GAS-05","05","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"205","GAS",49,"GAS-06","06","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"206","GAS",50,"GAS-07","07","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"207","GAS",51,"GAS-08","08","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"208","GAS",52,"GAS-09","09","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"209","GAS",53,"GAS-10","10","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
