"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"147","SBR",172,"SBR-17","17","seascape",147,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"148","SBR",173,"SBR-18","18","seascape",148,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"149","SBR",174,"SBR-19","19","seascape",149,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"150","SBR",175,"SBR-20","20","seascape",150,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"151","GOT",176,"GOT-01","01","seascape",151,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"152","GOT",177,"GOT-05","05","seascape",152,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"153","GOT",178,"GOT-06","06","seascape",153,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"154","GOT",179,"GOT-09","09","seascape",154,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"155","GRO",193,"GRO-01","01","seascape",155,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"156","GRO",193,"GRO-01","01","seascape",156,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"157","GRO",193,"GRO-01","01","seascape",157,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"158","GRO",193,"GRO-01","01","seascape",158,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"159","GRO",193,"GRO-01","01","seascape",159,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"160","GRO",193,"GRO-01","01","seascape",160,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"161","GRO",193,"GRO-01","01","seascape",161,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"162","GRO",193,"GRO-01","01","seascape",162,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"163","GRO",193,"GRO-01","01","seascape",163,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
