"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"165","KUR",288,"KUR-01","01","seascape",248,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"166","KUR",291,"KUR-07","07","seascape",255,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"167","KUR",294,"KUR-09","09","seascape",256,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"168","KUR",296,"KUR-10","10","seascape",257,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"169","KUR",297,"KUR-11","11","seascape",258,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"170","KUR",299,"KUR-13","13","seascape",260,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"171","KUR",302,"KUR-14","14","seascape",261,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"172","KUR",306,"KUR-18","18","seascape",265,-0.0922173812181188,-0.594677256838114,-0.587721807168263,-0.291952006548182
"173","YST",312,"YST-01","01","seascape",268,-0.367918645054933,-0.594677256838114,-0.587721807168263,-0.291952006548182
"174","YST",315,"YST-11","11","seascape",276,-0.367918645054933,-0.594677256838114,-0.587721807168263,-0.291952006548182
"175","YST",317,"YST-15","15","seascape",280,-0.367918645054933,-0.594677256838114,-0.587721807168263,-0.291952006548182
"176","YST",321,"YST-09","09","seascape",283,-0.367918645054933,-0.594677256838114,-0.587721807168263,-0.291952006548182
"177","YST",326,"YST-18","18","seascape",284,-0.367918645054933,-0.594677256838114,-0.587721807168263,-0.291952006548182
"178","SKI",327,"SKI-01","01","seascape",286,-1.47072370040219,-0.594677256838114,-0.587721807168263,-0.291952006548182
"179","SKI",336,"SKI-04","04","seascape",290,-1.47072370040219,-0.594677256838114,-0.587721807168263,-0.291952006548182
"180","SKI",346,"SKI-14","14","seascape",299,-1.47072370040219,-0.594677256838114,-0.587721807168263,-0.291952006548182
"181","AHU",351,"AHU-01","01","seascape",306,-0.643619908891747,-0.275737328502471,-0.743423992570277,-0.507667850146463
"182","AHU",361,"AHU-09","09","seascape",309,-0.643619908891747,-0.275737328502471,-0.743423992570277,-0.507667850146463
"183","AHU",366,"AHU-02","02","seascape",312,-0.643619908891747,-0.275737328502471,-0.743423992570277,-0.507667850146463
"184","AHU",367,"AHU-13","13","seascape",321,-0.643619908891747,-0.275737328502471,-0.743423992570277,-0.507667850146463
"185","FUR",379,"FUR-18","18","seascape",324,-0.919321172728561,-0.594677256838114,-0.743423992570277,-0.507667850146463
"186","FUR",383,"FUR-02","02","seascape",337,-0.919321172728561,-0.594677256838114,-0.743423992570277,-0.507667850146463
"187","BJN",394,"BJN-02","02","seascape",341,-0.919321172728561,-0.275737328502471,-0.743423992570277,-0.507667850146463
"188","BLA",404,"BLA-01","01","seascape",350,-1.746424964239,-0.275737328502471,-0.743423992570277,-0.507667850146463
"189","KAL",426,"KAL-01","01","seascape",370,0.183483882618695,0.0432025998331731,-0.743423992570277,-0.507667850146463
