"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"151","HOG","TempWarm-16psu","B1",151,26.252265625,32.08671875,16.1,16,"treatment",4.77846015771423,8.61327817017311,0.908742015413047,3.47497440140961
"152","VAT","TempWarm-16psu","B1",152,26.252265625,32.08671875,16,15.9,"treatment",4.77846015771423,8.61327817017311,0.891932244437458,3.43730178173077
"153","KUR","TempWarm-5psu","B1",153,26.252265625,32.08671875,5.05,5,"treatment",4.77846015771423,8.61327817017311,-0.948737677389446,-0.669013763262036
"154","BAR","TempWarm-5psu","B1",154,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"155","BJO","TempWarm-5psu","B1",155,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"156","HOG","TempWarm-5psu","B1",156,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"157","VAT","TempWarm-5psu","B1",157,26.252265625,32.08671875,5.15,5.1,"treatment",4.77846015771423,8.61327817017311,-0.931927906413857,-0.631341143583203
"158","VIK","TempWarm-5psu","B1",158,26.252265625,32.08671875,5.3,5.2,"treatment",4.77846015771423,8.61327817017311,-0.906713249950475,-0.59366852390437
"159","KAL","TempWarm-5psu","B1",159,26.252265625,32.08671875,5.05,5,"treatment",4.77846015771423,8.61327817017311,-0.948737677389446,-0.669013763262036
"160","HOR","TempWarm-5psu","B1",160,26.252265625,32.08671875,5.05,5,"treatment",4.77846015771423,8.61327817017311,-0.948737677389446,-0.669013763262036
"161","BAR","TempWarm-16psu","B2",161,26.123564453125,31.700615234375,16.1,16.1,"treatment",4.71563920043973,8.214022143797,0.908742015413047,3.51264702108844
"162","HOG","TempWarm-16psu","B2",162,26.123564453125,31.700615234375,16.2,16.1,"treatment",4.71563920043973,8.214022143797,0.925551786388634,3.51264702108844
"163","VAT","TempWarm-16psu","B2",163,26.123564453125,31.700615234375,16.1,16,"treatment",4.71563920043973,8.214022143797,0.908742015413047,3.47497440140961
"164","KAL","TempWarm-16psu","B2",164,26.123564453125,31.700615234375,16.8,16.5,"treatment",4.71563920043973,8.214022143797,1.02641041224216,3.66333749980377
"165","VIK","TempWarm-16psu","B2",165,26.123564453125,31.700615234375,16.1,16.1,"treatment",4.71563920043973,8.214022143797,0.908742015413047,3.51264702108844
"166","KUR","TempWarm-16psu","B2",166,26.123564453125,31.700615234375,16,15.9,"treatment",4.71563920043973,8.214022143797,0.891932244437458,3.43730178173077
"167","BJO","TempWarm-16psu","B2",167,26.123564453125,31.700615234375,16.1,16,"treatment",4.71563920043973,8.214022143797,0.908742015413047,3.47497440140961
"168","HOR","TempWarm-16psu","B2",168,26.123564453125,31.700615234375,15.95,15.9,"treatment",4.71563920043973,8.214022143797,0.883527358949664,3.43730178173077
"169","KAL","TempWarm-5psu","B2",169,26.123564453125,31.700615234375,5,4.9,"treatment",4.71563920043973,8.214022143797,-0.95714256287724,-0.706686382940869
"170","HOR","TempWarm-5psu","B2",170,26.123564453125,31.700615234375,5,5,"treatment",4.71563920043973,8.214022143797,-0.95714256287724,-0.669013763262036
