"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"174","west","SBR",165,"SBR-10","10","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"175","west","SBR",166,"SBR-11","11","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"176","west","SBR",167,"SBR-12","12","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"177","west","SBR",168,"SBR-13","13","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"178","west","SBR",169,"SBR-14","14","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"179","west","SBR",170,"SBR-15","15","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"180","west","SBR",171,"SBR-16","16","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"181","west","SBR",172,"SBR-17","17","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"182","west","SBR",173,"SBR-18","18","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"183","west","SBR",174,"SBR-19","19","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"184","west","SBR",175,"SBR-20","20","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"185","west","GOT",176,"GOT-01","01","Gottskär","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"186","west","GOT",177,"GOT-05","05","Gottskär","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"187","west","GOT",178,"GOT-06","06","Gottskär","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
