"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"255","TempWarm-16psu","246","B4","HOG","gen-31","HOG_gen-31",34.23173828125,26.0806640625,16,16
"239","TempWarm-16psu","247","B4","VAT","gen-31","VAT_gen-31",34.23173828125,26.0806640625,16,16
"238","TempWarm-16psu","248","B4","BJO","gen-31","BJO_gen-31",34.23173828125,26.0806640625,16,16
"289","TempWarm-5psu","249","B4","BAR","gen-32","BAR_gen-32",34.23173828125,26.0806640625,5,5
"309","TempWarm-5psu","250","B4","HOG","gen-32","HOG_gen-32",34.23173828125,26.0806640625,5,5
"376","TempWarm-5psu","251","B4","VIK","gen-32","VIK_gen-32",34.23173828125,26.0806640625,5,5
"360","TempWarm-5psu","252","B4","VAT","gen-32","VAT_gen-32",34.23173828125,26.0806640625,5,5
"320","TempWarm-5psu","253","B4","BJO","gen-32","BJO_gen-32",34.23173828125,26.0806640625,5,5
"344","TempWarm-5psu","254","B4","KUR","gen-32","KUR_gen-32",34.23173828125,26.0806640625,5,5
"368","TempWarm-5psu","255","B4","KAL","gen-32","KAL_gen-32",34.23173828125,26.0806640625,5,5
"312","TempWarm-5psu","256","B4","HOR","gen-32","HOR_gen-32",34.23173828125,26.0806640625,5,5
