bagKey,tank_ID,trt,bagnum_text,PopID,new_label,bagnum_num,genetID,DNA_label,temp_full,sal_full,gen,genet,board
A0D2E4C8,B1,TempWarm-5psu,137,KAL,137_B1_KAL_gen-18_TempWarm-5psu,137,18,KAL_gen-18,TempWarm,5psu,gen-18,KAL-18,18
6D28C642,B1,TempWarm-5psu,138,BAR,138_B1_BAR_gen-18_TempWarm-5psu,138,18,BAR_gen-18,TempWarm,5psu,gen-18,BAR-18,18
A77B7C88,B1,TempWarm-5psu,139,KUR,139_B1_KUR_gen-18_TempWarm-5psu,139,18,KUR_gen-18,TempWarm,5psu,gen-18,KUR-18,18
FAB22374,B1,TempWarm-5psu,140,HOR,140_B1_HOR_gen-18_TempWarm-5psu,140,18,HOR_gen-18,TempWarm,5psu,gen-18,HOR-18,18
FD28FE5E,B1,TempWarm-5psu,141,BJO,141_B1_BJO_gen-18_TempWarm-5psu,141,18,BJO_gen-18,TempWarm,5psu,gen-18,BJO-18,18
D087DA6E,B1,TempWarm-5psu,142,VAT,142_B1_VAT_gen-18_TempWarm-5psu,142,18,VAT_gen-18,TempWarm,5psu,gen-18,VAT-18,18
8B4C6BED,B1,TempWarm-5psu,143,VIK,143_B1_VIK_gen-18_TempWarm-5psu,143,18,VIK_gen-18,TempWarm,5psu,gen-18,VIK-18,18
938BA6B1,B1,TempWarm-5psu,144,HOG,144_B1_HOG_gen-18_TempWarm-5psu,144,18,HOG_gen-18,TempWarm,5psu,gen-18,HOG-18,18
E49AF12A,B1,TempWarm-16psu,145,BJO,145_B1_BJO_gen-19_TempWarm-16psu,145,19,BJO_gen-19,TempWarm,16psu,gen-19,BJO-19,19
6FACA715,B1,TempWarm-16psu,146,VIK,146_B1_VIK_gen-19_TempWarm-16psu,146,19,VIK_gen-19,TempWarm,16psu,gen-19,VIK-19,19
8FF9EA4A,B1,TempWarm-16psu,147,KUR,147_B1_KUR_gen-19_TempWarm-16psu,147,19,KUR_gen-19,TempWarm,16psu,gen-19,KUR-19,19
388FE2A0,B1,TempWarm-16psu,148,KAL,148_B1_KAL_gen-19_TempWarm-16psu,148,19,KAL_gen-19,TempWarm,16psu,gen-19,KAL-19,19
D054476E,B1,TempWarm-16psu,149,BAR,149_B1_BAR_gen-19_TempWarm-16psu,149,19,BAR_gen-19,TempWarm,16psu,gen-19,BAR-19,19
362BAB14,B1,TempWarm-16psu,150,HOR,150_B1_HOR_gen-19_TempWarm-16psu,150,19,HOR_gen-19,TempWarm,16psu,gen-19,HOR-19,19
BF734F02,B1,TempWarm-16psu,151,HOG,151_B1_HOG_gen-19_TempWarm-16psu,151,19,HOG_gen-19,TempWarm,16psu,gen-19,HOG-19,19
102C036C,B1,TempWarm-16psu,152,VAT,152_B1_VAT_gen-19_TempWarm-16psu,152,19,VAT_gen-19,TempWarm,16psu,gen-19,VAT-19,19
7F442F83,B1,TempWarm-5psu,153,KUR,153_B1_KUR_gen-20_TempWarm-5psu,153,20,KUR_gen-20,TempWarm,5psu,gen-20,KUR-20,20
9AB415E6,B1,TempWarm-5psu,154,BAR,154_B1_BAR_gen-20_TempWarm-5psu,154,20,BAR_gen-20,TempWarm,5psu,gen-20,BAR-20,20
A9D8E27C,B1,TempWarm-5psu,155,BJO,155_B1_BJO_gen-20_TempWarm-5psu,155,20,BJO_gen-20,TempWarm,5psu,gen-20,BJO-20,20
DDB212F0,B1,TempWarm-5psu,156,HOG,156_B1_HOG_gen-20_TempWarm-5psu,156,20,HOG_gen-20,TempWarm,5psu,gen-20,HOG-20,20
