gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4994413289	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/81563235/original.jpg	https://www.inaturalist.org/photos/81563235					2020-06-29T03:45:28Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
4994403362	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124506492/original.jpg	https://www.inaturalist.org/photos/124506492					2021-05-01T11:16:17Z	Martin Kielland		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Kielland
4994337946	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74165653/original.jpg	https://www.inaturalist.org/photos/74165653					2020-05-21T23:57:38Z	petersc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petersc
4994337946	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74363984/original.jpg	https://www.inaturalist.org/photos/74363984					2020-05-21T23:57:35Z	petersc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petersc
4994285802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90605124/original.jpg	https://www.inaturalist.org/photos/90605124					2020-08-18T13:42:49Z	_Brian_		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	_Brian_
4993755489	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/115297341/original.jpeg	https://www.inaturalist.org/photos/115297341					2021-03-09T19:35:37Z	Kristina Cecilie Larsen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina Cecilie Larsen
4987851437	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/209848521/original.jpg	https://www.inaturalist.org/photos/209848521					1997-06-05T00:00:00Z	Tomas Cedhagen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tomas Cedhagen
4987822690	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/210101723/original.jpg	https://www.inaturalist.org/photos/210101723					2022-06-29T16:21:04Z	Malte Rod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Malte Rod
4987772881	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160447665/original.jpg	https://www.inaturalist.org/photos/160447665					2021-09-29T10:22:33Z	meg071		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	meg071
4987749895	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225186586/original.jpg	https://www.inaturalist.org/photos/225186586					2022-08-25T08:26:04Z	amalie7782		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	amalie7782
4987716664	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225186597/original.jpg	https://www.inaturalist.org/photos/225186597					2022-08-25T08:25:43Z	mie_uhrskov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mie_uhrskov
4987673562	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160049159/original.jpg	https://www.inaturalist.org/photos/160049159					2021-09-27T07:59:35Z	alma_christensen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alma_christensen
4987612989	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227871803/original.jpg	https://www.inaturalist.org/photos/227871803					2022-09-05T12:01:19Z	andersbrocks		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	andersbrocks
4987585117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172271422/original.jpg	https://www.inaturalist.org/photos/172271422					2021-12-02T14:14:42Z	noraing		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	noraing
4987585117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172271426/original.jpg	https://www.inaturalist.org/photos/172271426					2021-12-02T14:14:42Z	noraing		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	noraing
4987585117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172271430/original.jpg	https://www.inaturalist.org/photos/172271430					2021-12-02T14:14:42Z	noraing		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	noraing
4987585117	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172271434/original.jpg	https://www.inaturalist.org/photos/172271434					2021-12-02T14:14:42Z	noraing		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	noraing
4987466300	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160438544/original.jpg	https://www.inaturalist.org/photos/160438544					2021-09-29T08:17:15Z	selma77		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	selma77
4987445164	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160306500/original.jpg	https://www.inaturalist.org/photos/160306500					2021-09-28T14:43:38Z	Gitte L		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gitte L
4987378604	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160249213/original.jpg	https://www.inaturalist.org/photos/160249213					2021-09-28T07:38:02Z	andersbrocks		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	andersbrocks
4980743559	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/432250554/original.jpeg	https://www.inaturalist.org/photos/432250554					2024-09-18T10:57:35Z	verajonssson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	verajonssson
4980729485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/448627066/original.jpeg	https://www.inaturalist.org/photos/448627066					2024-11-07T12:05:24Z	Viktor Björkert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Viktor Björkert
4980725210	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/443170511/original.jpeg	https://www.inaturalist.org/photos/443170511					2024-10-18T21:01:51Z	Joseph Lofthouse		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joseph Lofthouse
4980686058	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/431187879/original.jpg	https://www.inaturalist.org/photos/431187879					2024-08-18T23:41:41Z	Demian Hiß		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Demian Hiß
4980610651	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/440898669/original.jpeg	https://www.inaturalist.org/photos/440898669					2024-10-12T06:56:52Z	Zoltán Nagy		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Zoltán Nagy
