"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord","pos_fit_off","log_fit_off"
"TempControl_7psu","BAR",0.0716983151055628,"cg","rel","len",4,2,0.870081393266337,-0.139168516231
"TempControl_7psu","VIK",-0.600208953402857,"cg","rel","len",2,2,0.198174124757917,-1.61860921677975
"TempControl_7psu","KUR",0,"cg","rel","len",5,2,0.798383078160774,-0.225166748897902
"TempControl_7psu","HOR",-0.539829853121074,"cg","rel","len",7,2,0.2585532250397,-1.35265370665475
"TempWarm_16psu","HOG",-0.211077658675678,"cg","rel","len",3,3,0.587305419485097,-0.532210288699378
"TempWarm_16psu","BJO",1.34475077971444,"cg","rel","len",8,3,2.14313385787521,0.762269177384961
"TempWarm_16psu","KAL",-0.11549226429503,"cg","rel","len",6,3,0.682890813865745,-0.381420294759185
"TempWarm_16psu","HOR",2.541891858168,"cg","rel","len",7,3,3.34027493632877,1.20605311986691
"TempWarm_16psu","KUR",4.24342735016107,"cg","rel","len",5,3,5.04181042832184,1.61776522955072
"TempWarm_16psu","BAR",-0.368653264933504,"cg","rel","len",4,3,0.42972981322727,-0.844598609115605
"TempWarm_16psu","VIK",1.9705522089258,"cg","rel","len",2,3,2.76893528708658,1.01846287341612
"TempWarm_16psu","VAT",-0.397317617789881,"cg","rel","len",1,3,0.401065460370893,-0.913630622178045
"TempWarm_5psu","BAR",-0.744999718235481,"cg","rel","len",4,4,0.0533833599252929,-2.93025619346296
"TempWarm_5psu","HOR",NA,"cg","rel","len",7,4,NA,NA
"TempWarm_5psu","KAL",-0.440164779721672,"cg","rel","len",6,4,0.358218298439102,-1.02661270624069
"TempWarm_5psu","VAT",NA,"cg","rel","len",1,4,NA,NA
"TempWarm_5psu","BJO",NA,"cg","rel","len",8,4,NA,NA
"TempWarm_5psu","HOG",-0.462697819002245,"cg","rel","len",3,4,0.335685259158529,-1.09158128671828
"TempWarm_5psu","VIK",NA,"cg","rel","len",2,4,NA,NA
"TempWarm_5psu","KUR",NA,"cg","rel","len",5,4,NA,NA
"TempControl_21psu","HOG",0,"cf","rel","len",3,1,0.780197771940166,-0.24820783766838
"TempControl_21psu","HOR",0,"cf","rel","len",7,1,0.780197771940166,-0.24820783766838
"TempControl_21psu","BAR",0,"cf","rel","len",4,1,0.780197771940166,-0.24820783766838
"TempControl_21psu","BJO",0,"cf","rel","len",8,1,0.780197771940166,-0.24820783766838
"TempControl_21psu","KAL",-0.120242703684518,"cf","rel","len",6,1,0.659955068255648,-0.415583524679639
"TempControl_21psu","VAT",3.84530316159078,"cf","rel","len",1,1,4.62550093353095,1.53158467505193
